IND,TOK,DATE,SHOT,TIME,TAUTH,IP,BT,NEL,PLTH,RGEO,DELTA1,KAPPAA,EPS,MEFF
180,ASDEX,19820713,6416,1.177,0.0426266493249991,0.2977,2.201,3.538,0.981356666666666,1.658,1,0.993103526949126,0.242822677925211,1.5
181,ASDEX,19820713,6416,1.201,0.0475943299034633,0.2965,2.2,3.917,1.18538666666667,1.657,1,0.977586821935925,0.246771273385637,1.5
182,ASDEX,19820713,6416,1.224,0.031119788738578,0.2947,2.201,3.89,1.96223,1.65,1,0.969581874718423,0.249878787878788,1.5
187,ASDEX,19820713,6421,1.17,0.0319340578525932,0.2971,2.2,3.365,1.13875333333333,1.655,1,1.00029180389035,0.241570996978852,1.5
188,ASDEX,19820713,6421,1.209,0.041047167771441,0.2964,2.201,3.696,1.28352,1.651,1,0.981154947683636,0.246759539672925,1.5
189,ASDEX,19820713,6421,1.248,0.0326281518916257,0.2955,2.2,3.847,1.9142,1.658,1,0.966568789699381,0.249396863691194,1.5
195,ASDEX,19820715,6480,1.315,0.0596740903908649,0.3705,1.888,5.111,1.26471666666667,1.68,1,1.00220506558219,0.237559523809524,1.5
196,ASDEX,19820715,6480,1.354,0.044106829719447,0.3696,1.888,5.281,1.91978,1.674,1,0.995783198975315,0.239964157706093,1.5
201,ASDEX,19820716,6516,1.19,0.0408307911840613,0.3722,2.197,3.484,1.21666,1.677,1,1.01406532565514,0.235002981514609,1.5
203,ASDEX,19820716,6516,1.248,0.0393332042026481,0.3694,2.197,4.147,1.99918,1.673,1,0.994498940577298,0.240167364016736,1.5
208,ASDEX,19820716,6517,1.183,0.0406925772735717,0.3716,2.197,3.506,1.21296666666667,1.675,1,1.01582623942007,0.234865671641791,1.5
209,ASDEX,19820716,6517,1.224,0.0623833360922525,0.3719,2.198,3.976,1.18081666666667,1.681,1,0.9995925527476,0.237894110648424,1.5
210,ASDEX,19820716,6517,1.264,0.0431347181177156,0.37,2.198,4.149,1.93908,1.679,1,0.992509945624695,0.239904705181656,1.5
215,ASDEX,19820716,6523,1.21,0.036772869158925,0.3713,2.2,3.429,1.33943666666667,1.672,1,1.01738235056279,0.234988038277512,1.5
216,ASDEX,19820716,6523,1.257,0.0595592104140452,0.3715,2.198,3.99,1.20107666666667,1.68,1,1.00494428293865,0.236785714285714,1.5
217,ASDEX,19820716,6523,1.304,0.0451129782997564,0.3695,2.198,3.911,1.70752,1.672,1,0.99848744805774,0.239473684210526,1.5
222,ASDEX,19820720,6553,1.252,0.0325121007686373,0.2961,2.195,2.723,1.34020733333333,1.681,1,0.986598756285455,0.241165972635336,1.5
223,ASDEX,19820720,6553,1.278,0.0484933097338846,0.2963,2.197,3.105,1.22346666666667,1.684,1,0.971090701164721,0.244596199524941,1.5
224,ASDEX,19820720,6553,1.304,0.0337432021819652,0.2937,2.195,3.16,1.899572,1.675,1,0.965906932893601,0.247164179104478,1.5
229,ASDEX,19820722,6602,1.19,0.0426152108568102,0.3719,2.195,4.433,1.32281333333333,1.677,1,1.012106284274,0.235420393559928,1.5
230,ASDEX,19820722,6602,1.227,0.0524545746211897,0.3708,2.196,5.096,1.55104,1.678,1,0.997094009523913,0.238736591179976,1.5
231,ASDEX,19820722,6602,1.263,0.044779161883691,0.3699,2.197,5.125,1.95316,1.675,1,0.994305557019081,0.239761194029851,1.5
236,ASDEX,19820722,6606,1.22,0.0514976915168129,0.3705,2.195,6.017,1.37374666666667,1.676,1,1.00841344766901,0.236396181384248,1.5
237,ASDEX,19820722,6606,1.235,0.0520451918907932,0.3704,2.195,6.476,1.49563333333333,1.677,1,1.00678127029593,0.236612999403697,1.5
238,ASDEX,19820722,6606,1.249,0.0413652041141425,0.3699,2.195,6.802,1.97052,1.676,1,1.00272179908941,0.237708830548926,1.5
243,ASDEX,19820722,6616,1.178,0.034679030343142,0.2966,2.197,3.283,1.13743,1.654,1,0.993395503399558,0.243470374848851,1.5
244,ASDEX,19820722,6616,1.209,0.036766917529322,0.296,2.197,3.585,1.41532,1.651,1,0.978543832962269,0.247546941247729,1.5
245,ASDEX,19820722,6616,1.24,0.0304032541672758,0.2947,2.197,3.659,1.96992,1.649,1,0.970903087041621,0.249787750151607,1.5
250,ASDEX,19820722,6627,1.178,0.0230519775039635,0.2971,2.197,4.317,1.77240333333333,1.653,1,1.00038872363788,0.241923774954628,1.5
251,ASDEX,19820722,6627,1.215,0.0272242645167642,0.2949,2.195,4.551,1.77749666666667,1.647,1,0.994590501686819,0.244140862173649,1.5
252,ASDEX,19820722,6627,1.248,0.0255926259933302,0.295,2.195,4.7,2.02556,1.648,1,0.988858897605242,0.245327669902913,1.5
257,ASDEX,19820730,6802,1.213,0.0257692800302827,0.2952,2.193,4.093,1.52430133333333,1.667,1,1.00707199619438,0.238332333533293,1.5
258,ASDEX,19820730,6802,1.249,0.0279849590329116,0.2949,2.192,4.157,1.49066,1.667,1,1.00625472832425,0.238572285542891,1.5
259,ASDEX,19820730,6802,1.284,0.0267934403143725,0.2944,2.194,4.091,1.57377,1.665,1,1.00361629201025,0.239459459459459,1.5
264,ASDEX,19820805,6888,1.165,0.0307810200165163,0.2482,2.192,4.348,1.28963666666667,1.673,1,0.984932244851763,0.242857142857143,1.5
265,ASDEX,19820805,6888,1.187,0.0289871147795605,0.2458,2.192,4.206,1.46011333333333,1.665,1,0.97633026812493,0.246126126126126,1.5
266,ASDEX,19820805,6888,1.209,0.025690913386317,0.2457,2.192,4.243,1.74771,1.664,1,0.972893730543354,0.247115384615385,1.5
271,ASDEX,19821015,7121,1.19,0.0399736677811098,0.2959,2.201,3.581,1.17214,1.667,1,0.989248365465662,0.24253149370126,1.5
273,ASDEX,19821015,7121,1.244,0.0342439773530271,0.2948,2.201,4.264,1.98472,1.663,1,0.969577245707533,0.248045700541191,1.5
279,ASDEX,19821015,7124,1.233,0.0367183236141242,0.2954,2.201,4.044,1.63209666666667,1.663,1,0.977772360652886,0.246001202645821,1.5
280,ASDEX,19821015,7124,1.274,0.0327315067115338,0.2944,2.201,4.212,1.96432,1.662,1,0.974897566863348,0.246871239470517,1.5
285,ASDEX,19821207,7940,1.203,0.0366544834593566,0.2968,2.211,3.767,1.17579666666667,1.653,1,0.997432765292453,0.243436176648518,1.5
286,ASDEX,19821207,7940,1.229,0.0389020350250772,0.2951,2.211,3.922,1.27008,1.653,1,0.991468155322871,0.244888082274652,1.5
287,ASDEX,19821207,7940,1.254,0.0332653571423864,0.2949,2.211,4.116,1.69946,1.654,1,0.984407380216567,0.246432889963724,1.5
292,ASDEX,19821207,7941,1.227,0.0386106570347947,0.2963,2.022,4.7,1.24760333333333,1.656,1,0.995036613999597,0.243599033816425,1.5
293,ASDEX,19821207,7941,1.258,0.0465407177254152,0.2952,2.022,4.88,1.19989666666667,1.652,1,0.986744213677089,0.246246973365617,1.5
294,ASDEX,19821207,7941,1.289,0.0409572781912893,0.2953,2.022,5.229,1.59528,1.659,1,0.976864107736365,0.247619047619048,1.5
299,ASDEX,19821207,7942,1.205,0.0279871456520571,0.2964,2.399,3.577,1.42653666666667,1.651,1,1.00064844869988,0.242883101150818,1.5
300,ASDEX,19821207,7942,1.255,0.0296500532390579,0.2949,2.399,3.728,1.57175333333333,1.649,1,0.994152458582843,0.244693753790176,1.5
301,ASDEX,19821207,7942,1.305,0.0280482527914562,0.2946,2.398,3.675,1.71072,1.647,1,0.993261461432489,0.245173041894353,1.5
306,ASDEX,19821207,7943,1.19,0.0434583744823034,0.2971,1.832,3.791,0.95442,1.655,1,1.00276063749154,0.241873111782477,1.5
307,ASDEX,19821207,7943,1.24,0.0429590306432086,0.2955,1.832,4.159,1.29128666666667,1.656,1,0.987037075197681,0.245591787439614,1.5
308,ASDEX,19821207,7943,1.289,0.0384265733778895,0.2954,1.832,4.259,1.55908,1.653,1,0.984399066460326,0.24670296430732,1.5
313,ASDEX,19821207,7945,1.197,0.0343589742417909,0.2971,2.212,3.726,1.25673333333333,1.654,1,0.998639400084063,0.242926239419589,1.5
314,ASDEX,19821207,7945,1.221,0.033821217659847,0.2957,2.213,3.872,1.43653,1.65,1,0.993651894396888,0.244727272727273,1.5
315,ASDEX,19821207,7945,1.245,0.0295364387695052,0.2946,2.213,3.888,1.70403,1.649,1,0.992068023227624,0.245239539114615,1.5
320,ASDEX,19821207,7950,1.207,0.0267014622995885,0.2668,2.213,3.609,1.32764333333333,1.647,1,0.99226266086216,0.245537340619308,1.5
321,ASDEX,19821207,7950,1.221,0.0262347291383754,0.2665,2.213,3.716,1.49496666666667,1.649,1,0.989503935190889,0.245845967252881,1.5
322,ASDEX,19821207,7950,1.235,0.0228537946884873,0.265,2.211,3.638,1.70924,1.646,1,0.989108796546747,0.246415552855407,1.5
327,ASDEX,19821207,7951,1.194,0.0266491422066644,0.2963,2.211,3.802,1.56143666666667,1.652,1,1.00764486467207,0.223305084745763,1.5
328,ASDEX,19821207,7951,1.235,0.0301810361245511,0.2949,2.211,3.812,1.56511333333333,1.65,1,1.00344429352231,0.224484848484849,1.5
329,ASDEX,19821207,7951,1.275,0.0283020525983788,0.2947,2.211,3.78,1.74936,1.648,1,0.998126625748063,0.226031553398058,1.5
334,ASDEX,19830726,9706,1.196,0.0342514494469403,0.3174,2.197,3.278,1.47949666666667,1.657,1,0.986936561477026,0.245503922751961,1.5
336,ASDEX,19830726,9706,1.229,0.0311900065622192,0.3151,2.195,3.819,2.226,1.655,1,0.970284082111616,0.249969788519637,1.5
341,ASDEX,19830726,9710,1.194,0.0410790436021944,0.3171,2.197,3.56,1.31059,1.694,1,0.989579256895184,0.23961038961039,1.5
343,ASDEX,19830726,9710,1.254,0.0367243135275705,0.3148,2.197,4.276,2.198,1.693,1,0.969056164200089,0.244654459539279,1.5
348,ASDEX,19830726,9711,1.181,0.0239975270987151,0.3169,2.198,3.285,1.85149,1.692,1,0.998125367028388,0.237765957446809,1.5
350,ASDEX,19830726,9711,1.285,0.0392213262072496,0.3142,2.198,4.668,2.1877,1.697,1,0.969152998868541,0.244018856806128,1.5
355,ASDEX,19830729,9807,1.18,0.0487093245430662,0.3751,2.192,4.286,0.956666666666667,1.695,1,1.03752364033236,0.206725663716814,1.5
356,ASDEX,19830729,9807,1.21,0.0506170183194627,0.3744,2.194,4.259,1.03856666666667,1.695,1,1.03288303831059,0.207551622418879,1.5
357,ASDEX,19830729,9807,1.25,0.0446302403183857,0.3737,2.194,4.748,1.3157,1.696,1,1.02930389406604,0.208254716981132,1.5
362,ASDEX,19830729,9808,1.216,0.0426567976733571,0.3734,2.193,4.409,1.2356,1.69,1,1.03248034046451,0.208284023668639,1.5
363,ASDEX,19830729,9808,1.25,0.0429971524382644,0.3733,2.192,4.399,1.27722,1.69,1,1.03068903134923,0.208698224852071,1.5
364,ASDEX,19830729,9808,1.284,0.0415470838474271,0.3734,2.194,4.487,1.3895,1.69,1,1.02988698647415,0.208934911242604,1.5
369,ASDEX,19830729,9809,1.206,0.0472241268293316,0.3741,2.193,4.091,1.11756666666667,1.692,1,1.03215070770733,0.208096926713948,1.5
370,ASDEX,19830729,9809,1.243,0.0441142433154249,0.373,2.192,4.182,1.29113666666667,1.689,1,1.0302878852807,0.208940201302546,1.5
371,ASDEX,19830729,9809,1.279,0.0407919132256355,0.3732,2.191,4.143,1.3965,1.689,1,1.02988698647415,0.209058614564831,1.5
376,ASDEX,19830729,9811,1.227,0.0433658766900095,0.3736,2.193,4.479,1.2652,1.691,1,1.03076168400272,0.208515671200473,1.5
377,ASDEX,19830729,9811,1.237,0.0503060514814815,0.3733,2.193,4.532,1.1151,1.691,1,1.02970423544945,0.208752217622708,1.5
378,ASDEX,19830729,9811,1.248,0.0420950694821729,0.3734,2.194,4.782,1.3659,1.691,1,1.02897630942911,0.208929627439385,1.5
383,ASDEX,19830729,9812,1.187,0.0500829952234458,0.3752,2.194,4.268,0.861633333333333,1.689,1,1.04119882239442,0.206808762581409,1.5
384,ASDEX,19830729,9812,1.22,0.0460651767886323,0.3729,2.194,4.163,0.993813333333333,1.687,1,1.03952510213862,0.207350326022525,1.5
385,ASDEX,19830729,9812,1.254,0.0417726587594988,0.3727,2.194,4.075,1.1054,1.687,1,1.03878311452713,0.207528156490812,1.5
390,ASDEX,19830729,9813,1.2,0.0467344481405243,0.374,2.194,3.909,0.937643333333333,1.688,1,1.04019395204783,0.207109004739337,1.5
391,ASDEX,19830729,9813,1.235,0.0424427975208226,0.3728,2.195,3.858,1.05790333333333,1.687,1,1.03885710128207,0.20746887966805,1.5
392,ASDEX,19830729,9813,1.27,0.0402121198729959,0.3726,2.194,3.8,1.1152,1.687,1,1.03885710128207,0.20746887966805,1.5
397,ASDEX,19830729,9817,1.197,0.0405387616632498,0.3749,2.195,4.629,1.69259,1.698,1,1.01614850502327,0.210541813898704,1.5
398,ASDEX,19830729,9817,1.225,0.041309005775324,0.3742,2.194,4.821,1.86861666666667,1.696,1,1.01120726362685,0.212028301886792,1.5
399,ASDEX,19830729,9817,1.254,0.0362919405557919,0.3735,2.195,4.971,2.25705,1.694,1,1.00808998568512,0.213046044864227,1.5
404,ASDEX,19830729,9818,1.179,0.0468560508884007,0.3763,2.195,4.405,1.28827,1.699,1,1.02067244206071,0.209358446144791,1.5
405,ASDEX,19830729,9818,1.217,0.0461059874328906,0.3746,2.195,4.739,1.70095333333333,1.699,1,1.00920699368412,0.211889346674514,1.5
406,ASDEX,19830729,9818,1.255,0.0380149755302166,0.3737,2.195,4.992,2.25389,1.696,1,1.00471391652021,0.213384433962264,1.5
411,ASDEX,19830802,9858,1.172,0.0395653998815968,0.3766,2.193,4.042,1.45336666666667,1.7,1,1.02318012275776,0.207764705882353,1.5
412,ASDEX,19830802,9858,1.238,0.0394706623667614,0.3729,2.192,4.048,1.95138666666667,1.694,1,1.01001578121793,0.211393152302243,1.5
413,ASDEX,19830802,9858,1.304,0.0354596587097122,0.373,2.192,4.003,2.22803,1.695,1,1.00942896572873,0.211563421828909,1.5
419,ASDEX,19830802,9859,1.22,0.045790609034718,0.3743,2.192,4.899,1.58630666666667,1.695,1,1.01593902185405,0.210029498525074,1.5
420,ASDEX,19830802,9859,1.27,0.0376182903528254,0.3729,2.191,4.69,1.94062,1.694,1,1.01566462091899,0.21038961038961,1.5
425,ASDEX,19830802,9861,1.174,0.0421788677116816,0.3752,2.192,3.964,1.28093333333333,1.697,1,1.02766926448364,0.20736593989393,1.5
426,ASDEX,19830802,9861,1.216,0.0443305142202175,0.374,2.191,4.108,1.52399333333333,1.695,1,1.01857099785994,0.209498525073746,1.5
427,ASDEX,19830802,9861,1.258,0.0388200877083344,0.3729,2.191,4.075,1.91075,1.693,1,1.01491283363481,0.210513880685174,1.5
432,ASDEX,19830802,9862,1.198,0.0457998530984352,0.3746,2.191,3.884,1.2206,1.694,1,1.02694572836556,0.207910271546635,1.5
433,ASDEX,19830802,9862,1.219,0.0413228678381726,0.3738,2.191,3.855,1.4534,1.691,1,1.02445590844698,0.208870490833826,1.5
434,ASDEX,19830802,9862,1.239,0.0381914355224167,0.3732,2.191,3.944,1.6394,1.692,1,1.02406129918411,0.20886524822695,1.5
