model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
gp_linear_rbf,__pooled__,5,3.924837061543754,6114,0.706158772182507,0.30596168392345,0.15886634120562498,True
ipb98y2_analytic,__pooled__,6,3.682842287694974,5929,0.19931904239829404,0.9420274432869793,0.028004784020887078,False
mean_baseline,__pooled__,6,3.682842287694974,5929,1.606484257931244,-2.76597834617722,0.1503227654911111,True
ridge_loglinear,__pooled__,6,3.682842287694974,5929,0.5289298262239039,0.5917548959825645,0.09047621855890416,True
random_forest,__pooled__,6,3.682842287694974,5929,1.553796235402906,-2.5230028936326407,0.1482631726054519,True
hist_gradient_boosting,__pooled__,6,3.682842287694974,5929,1.470614684191647,-2.155895879386697,0.1458088992472974,True
gp_rbf,__pooled__,6,3.682842287694974,5929,1.5282054398308416,-2.407911850031632,0.14505765146706176,True
gp_linear,__pooled__,6,3.682842287694974,5929,0.9349299116995625,-0.27550739053834894,0.24746582768567976,True
gp_linear_rbf,__pooled__,6,3.682842287694974,5929,1.055899899565861,-0.6269356184522703,0.3268901692203522,True
ipb98y2_analytic,__pooled__,7,3.682842287694974,5918,0.1983407963845183,0.9423219562572641,0.028026532349727417,False
mean_baseline,__pooled__,7,3.682842287694974,5918,1.612936012701409,-2.8143513455961657,0.1507611508046748,True
ridge_loglinear,__pooled__,7,3.682842287694974,5918,0.2816358062005545,0.8837047024969178,0.03743323264080237,True
random_forest,__pooled__,7,3.682842287694974,5918,1.6831923772509036,-3.1538798260613428,0.15275921737245085,True
hist_gradient_boosting,__pooled__,7,3.682842287694974,5918,1.4967954447718819,-2.2848180787097383,0.1464805104309091,True
gp_rbf,__pooled__,7,3.682842287694974,5918,1.518714754851206,-2.3817293071823498,0.14408627884622652,True
gp_linear,__pooled__,7,3.682842287694974,5918,0.33713843150208606,0.8333509122545633,0.04513021751906822,True
gp_linear_rbf,__pooled__,7,3.682842287694974,5918,0.4235884961452594,0.7369279369284821,0.06464072674035794,True
ipb98y2_analytic,__pooled__,8,2.5894897182025893,5849,0.19924268224246197,0.9395261018961305,0.028332370398708083,False
mean_baseline,__pooled__,8,2.5894897182025893,5849,1.6660790501830764,-3.228578637439794,0.15392343026818056,True
ridge_loglinear,__pooled__,8,2.5894897182025893,5849,0.31044529834480605,0.8531840031258973,0.04303799007594932,True
random_forest,__pooled__,8,2.5894897182025893,5849,1.6745557211991784,-3.271716391492289,0.1536625702203859,True
hist_gradient_boosting,__pooled__,8,2.5894897182025893,5849,1.4257105513315251,-2.096463263888347,0.14512750972955699,True
gp_rbf,__pooled__,8,2.5894897182025893,5849,1.5676819709754373,-2.7438559654295047,0.14762977077631415,True
gp_linear,__pooled__,8,2.5894897182025893,5849,0.30988920248011304,0.8537095104893965,0.04229707311009567,True
gp_linear_rbf,__pooled__,8,2.5894897182025893,5849,0.31416460432159,0.8496450567839994,0.045546611685695446,True
ipb98y2_analytic,__pooled__,9,2.428571428571429,5752,0.1987398164629478,0.9371765586017706,0.02871800882335409,False
mean_baseline,__pooled__,9,2.428571428571429,5752,1.682955063272373,-3.505022807881275,0.1565048066347058,True
ridge_loglinear,__pooled__,9,2.428571428571429,5752,0.2523163503000443,0.8987388763681777,0.0343735649417914,True
random_forest,__pooled__,9,2.428571428571429,5752,1.7430705688258945,-3.8326116233434613,0.1582442022666581,True
hist_gradient_boosting,__pooled__,9,2.428571428571429,5752,1.497377567653143,-2.5662731129806233,0.15012191697661087,True
gp_rbf,__pooled__,9,2.428571428571429,5752,1.6641909288209935,-3.4051251869587933,0.1560618300691087,True
gp_linear,__pooled__,9,2.428571428571429,5752,0.26731280208806396,0.8863442346437854,0.036583074486753374,True
gp_linear_rbf,__pooled__,9,2.428571428571429,5752,0.2448874926590419,0.9046138844290245,0.03258472433515092,True
ipb98y2_analytic,__pooled__,10,2.0334928229665072,4985,0.1955523477919212,0.9389108395327639,0.0309222728089224,False
mean_baseline,__pooled__,10,2.0334928229665072,4985,1.3460117466666535,-1.8942483068473739,0.1564328008332185,True
ridge_loglinear,__pooled__,10,2.0334928229665072,4985,0.24176064806222014,0.9066295804586603,0.037399842226940254,True
random_forest,__pooled__,10,2.0334928229665072,4985,1.271055858507716,-1.580877320847076,0.1473042840680934,True
hist_gradient_boosting,__pooled__,10,2.0334928229665072,4985,1.1285886068249373,-1.0347422891197855,0.13925592463132483,True
gp_rbf,__pooled__,10,2.0334928229665072,4985,1.295471784115535,-1.6809826567167687,0.14589810192952157,True
gp_linear,__pooled__,10,2.0334928229665072,4985,0.24045849168444802,0.9076326837935236,0.03704298910152623,True
gp_linear_rbf,__pooled__,10,2.0334928229665072,4985,0.2229768523531683,0.920574922216112,0.03255768984946924,True
ipb98y2_analytic,__pooled__,11,2.0334928229665072,4926,0.1958206532207548,0.9377173329330544,0.03121137776889363,False
mean_baseline,__pooled__,11,2.0334928229665072,4926,1.357708538527044,-1.9940793794666147,0.15839782910222538,True
ridge_loglinear,__pooled__,11,2.0334928229665072,4926,0.2328295302046073,0.9119506132684603,0.0370963742073109,True
random_forest,__pooled__,11,2.0334928229665072,4926,1.3012910547189576,-1.7504205264249806,0.14999854060890142,True
hist_gradient_boosting,__pooled__,11,2.0334928229665072,4926,1.1422607346717948,-1.119242759266141,0.1410609459987196,True
gp_rbf,__pooled__,11,2.0334928229665072,4926,1.302081480213986,-1.753762842136152,0.14777411632300372,True
gp_linear,__pooled__,11,2.0334928229665072,4926,0.23115646870789264,0.9132114736306325,0.036620814854373046,True
gp_linear_rbf,__pooled__,11,2.0334928229665072,4926,0.20503211505843175,0.931719924084303,0.03112585536980396,True
ipb98y2_analytic,__pooled__,12,2.005899705014749,3549,0.1952171202100804,0.9426387598927793,0.03757046942088432,False
