group,estimator,score,n_train_rows,n_held_out_rows,mahalanobis,n_features_outside_train_range,fraction_above_train_max,fraction_below_train_min,log_target_headroom,prediction_bounded_by_train_range,n_features
Cariniana micrantha,hist_gradient_boosting,0.39635798786947535,3529,70,1.372110948429283,0,0.0,0.0,-9.224239561210176,True,2
Pinus sylvestris,powerlaw_loglinear,0.7025120931270373,3548,51,1.5989952494706494,0,0.0,0.0,-4.536166484575648,True,2
Pinus sylvestris,random_forest,0.7074253760357968,3548,51,1.5989952494706494,0,0.0,0.0,-4.536166484575648,True,2
Pinus sylvestris,hist_gradient_boosting,0.6831047601044632,3548,51,1.5989952494706494,0,0.0,0.0,-4.536166484575648,True,2
Betula pendula,powerlaw_loglinear,0.3788560142656915,3429,170,1.1837184616954317,0,0.0,0.0,-10.689437414707282,True,2
Betula pendula,random_forest,0.47719816157988115,3429,170,1.1837184616954317,0,0.0,0.0,-10.689437414707282,True,2
Betula pendula,hist_gradient_boosting,0.3923029416074961,3429,170,1.1837184616954317,0,0.0,0.0,-10.689437414707282,True,2
Betula pubescens,powerlaw_loglinear,0.40424842933081245,3443,156,1.9260414487854012,0,0.0,0.0,-11.391144994901165,True,2
Betula pubescens,random_forest,0.6316333015929949,3443,156,1.9260414487854012,0,0.0,0.0,-11.391144994901165,True,2
Betula pubescens,hist_gradient_boosting,0.5397142418990561,3443,156,1.9260414487854012,0,0.0,0.0,-11.391144994901165,True,2
Pinus taeda,powerlaw_loglinear,0.4926675136275557,3535,64,3.8401055518576115,0,0.0,0.0,-2.12453423734365,True,3
Pinus taeda,random_forest,0.26491579134872983,3535,64,3.8401055518576115,0,0.0,0.0,-2.12453423734365,True,3
Pinus taeda,hist_gradient_boosting,0.5530436654808073,3535,64,3.8401055518576115,0,0.0,0.0,-2.12453423734365,True,3
Acer saccharum,powerlaw_loglinear,0.5122467322728356,3315,284,0.5594652605796916,0,0.0,0.0,-5.081170288042745,True,3
Acer saccharum,random_forest,0.504254548931914,3315,284,0.5594652605796916,0,0.0,0.0,-5.081170288042745,True,3
Acer saccharum,hist_gradient_boosting,0.4844849200872885,3315,284,0.5594652605796916,0,0.0,0.0,-5.081170288042745,True,3
Betula alleghaniensis,powerlaw_loglinear,0.45984658237812326,3290,309,1.6927318558058264,0,0.0,0.012944983818770227,-4.539201682042382,True,3
