model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,n_train_rows,well_powered
powerlaw_collisionless,__pooled__,8,2.5894897182025893,5849,0.32036744782942284,0.8436492504928943,0.04445114694342348,True,379,False
powerlaw_electrostatic,__pooled__,8,2.5894897182025893,5849,0.3492444486054156,0.8141929331597666,0.04899306881858437,True,379,False
hybrid_gbm_s1,__pooled__,8,2.5894897182025893,5849,0.2944946818706368,0.8678831782827308,0.03958361513659748,True,379,False
ipb98y2_analytic,__pooled__,9,2.428571428571429,5752,0.1987398164629478,0.9371765586017706,0.02871800882335409,False,476,False
mean_baseline,__pooled__,9,2.428571428571429,5752,1.682955063272373,-3.505022807881275,0.1565048066347058,True,476,False
ridge_loglinear,__pooled__,9,2.428571428571429,5752,0.2523163503000443,0.8987388763681777,0.0343735649417914,True,476,False
random_forest,__pooled__,9,2.428571428571429,5752,1.7430705688258945,-3.8326116233434613,0.1582442022666581,True,476,False
hist_gradient_boosting,__pooled__,9,2.428571428571429,5752,1.497377567653143,-2.5662731129806233,0.15012191697661087,True,476,False
powerlaw_free,__pooled__,9,2.428571428571429,5752,0.2691417754874685,0.8847836321423832,0.03686058356190465,True,476,False
powerlaw_kadomtsev,__pooled__,9,2.428571428571429,5752,0.2594048003552724,0.8929693972539604,0.03477695078236789,True,476,False
powerlaw_collisionless,__pooled__,9,2.428571428571429,5752,0.2770789978207316,0.8778877677491932,0.04043162741974852,True,476,False
powerlaw_electrostatic,__pooled__,9,2.428571428571429,5752,0.3195355116008424,0.8375984331092952,0.0472256959968288,True,476,False
hybrid_gbm_s1,__pooled__,9,2.428571428571429,5752,0.2483262802408445,0.9019161915877074,0.03308410120336747,True,476,False
ipb98y2_analytic,__pooled__,10,2.0334928229665072,4985,0.1955523477919212,0.9389108395327639,0.0309222728089224,False,1243,True
mean_baseline,__pooled__,10,2.0334928229665072,4985,1.3460117466666535,-1.8942483068473739,0.1564328008332185,True,1243,True
ridge_loglinear,__pooled__,10,2.0334928229665072,4985,0.24176064806222014,0.9066295804586603,0.037399842226940254,True,1243,True
random_forest,__pooled__,10,2.0334928229665072,4985,1.271055858507716,-1.580877320847076,0.1473042840680934,True,1243,True
hist_gradient_boosting,__pooled__,10,2.0334928229665072,4985,1.1285886068249373,-1.0347422891197855,0.13925592463132483,True,1243,True
powerlaw_free,__pooled__,10,2.0334928229665072,4985,0.23989537195746735,0.9080647995651601,0.036887902166305504,True,1243,True
powerlaw_kadomtsev,__pooled__,10,2.0334928229665072,4985,0.21541856052200847,0.9258682372930858,0.031327791298050876,True,1243,True
powerlaw_collisionless,__pooled__,10,2.0334928229665072,4985,0.2204325670319955,0.9223771464071624,0.031717315845900665,True,1243,True
powerlaw_electrostatic,__pooled__,10,2.0334928229665072,4985,0.2711562831337579,0.8825433980870389,0.04202656009539857,True,1243,True
hybrid_gbm_s1,__pooled__,10,2.0334928229665072,4985,0.28722482118753256,0.8682101318847583,0.04804743833926733,True,1243,True
ipb98y2_analytic,__pooled__,11,2.0334928229665072,4926,0.1958206532207548,0.9377173329330544,0.03121137776889363,False,1302,True
mean_baseline,__pooled__,11,2.0334928229665072,4926,1.357708538527044,-1.9940793794666147,0.15839782910222538,True,1302,True
ridge_loglinear,__pooled__,11,2.0334928229665072,4926,0.2328295302046073,0.9119506132684603,0.0370963742073109,True,1302,True
random_forest,__pooled__,11,2.0334928229665072,4926,1.3012910547189576,-1.7504205264249806,0.14999854060890142,True,1302,True
hist_gradient_boosting,__pooled__,11,2.0334928229665072,4926,1.1422607346717948,-1.119242759266141,0.1410609459987196,True,1302,True
powerlaw_free,__pooled__,11,2.0334928229665072,4926,0.23045956029435496,0.9137339983011451,0.03641941838886451,True,1302,True
powerlaw_kadomtsev,__pooled__,11,2.0334928229665072,4926,0.20610498283654166,0.9310034787152217,0.03028292174944756,True,1302,True
powerlaw_collisionless,__pooled__,11,2.0334928229665072,4926,0.21411267773767242,0.9255379518896604,0.031599999539680894,True,1302,True
powerlaw_electrostatic,__pooled__,11,2.0334928229665072,4926,0.2687848638147803,0.8826562862971199,0.04290861935386831,True,1302,True
hybrid_gbm_s1,__pooled__,11,2.0334928229665072,4926,0.26739145051569435,0.883869780729263,0.045522731450191,True,1302,True
ipb98y2_analytic,__pooled__,12,2.005899705014749,3549,0.1952171202100804,0.9426387598927793,0.03757046942088432,False,2679,True
mean_baseline,__pooled__,12,2.005899705014749,3549,1.296607179243921,-1.5304605555686952,0.1878633854119821,True,2679,True
ridge_loglinear,__pooled__,12,2.005899705014749,3549,0.25519532201517764,0.901976964731825,0.05898461022633705,True,2679,True
random_forest,__pooled__,12,2.005899705014749,3549,1.2208469365449033,-1.2433919835123963,0.17809864209428994,True,2679,True
hist_gradient_boosting,__pooled__,12,2.005899705014749,3549,1.1972622844642502,-1.1575522985238695,0.1761214860043005,True,2679,True
powerlaw_free,__pooled__,12,2.005899705014749,3549,0.2564803866469642,0.9009872671737623,0.05950494322211579,True,2679,True
powerlaw_kadomtsev,__pooled__,12,2.005899705014749,3549,0.25098955147483604,0.9051812964270158,0.05735655009720391,True,2679,True
powerlaw_collisionless,__pooled__,12,2.005899705014749,3549,0.19828132646814686,0.9408238973149828,0.03912536945428885,True,2679,True
powerlaw_electrostatic,__pooled__,12,2.005899705014749,3549,0.22801249631979767,0.9217471746662669,0.04624448315155397,True,2679,True
hybrid_gbm_s1,__pooled__,12,2.005899705014749,3549,0.223158738538163,0.9250432887176889,0.04637941271531477,True,2679,True
ipb98y2_analytic,__pooled__,13,1.998824221046443,3118,0.20245781788747105,0.8515624651042903,0.0422282166777013,False,3110,True
mean_baseline,__pooled__,13,1.998824221046443,3118,1.4461810235245474,-6.573906633612587,0.21550981241155112,True,3110,True
ridge_loglinear,__pooled__,13,1.998824221046443,3118,0.2449270221943438,0.7827558778171437,0.057328367347390226,True,3110,True
random_forest,__pooled__,13,1.998824221046443,3118,1.3528600616699271,-5.627967680695977,0.20690857770031806,True,3110,True
hist_gradient_boosting,__pooled__,13,1.998824221046443,3118,1.322879351238232,-5.337458162828072,0.20406257822807813,True,3110,True
powerlaw_free,__pooled__,13,1.998824221046443,3118,0.24624348717902764,0.7804142588592051,0.05784502228052878,True,3110,True
