degree,alpha,tokamak,n_held_out_rows,rmsle,feature_mahalanobis
1,1000.0,PBXM,59,0.18452653787126858,10.18020691511417
1,1000.0,CMOD,45,0.5128238510553547,6.937744525296737
1,1000.0,MAST,39,0.15205064291256862,5.375921749336576
1,10000.0,JET,1762,0.9215151838064893,2.189768389167002
1,10000.0,AUG,1377,0.3474614656777902,1.2399939601552896
1,10000.0,JETILW,866,0.2460013647355254,1.7024302608804454
1,10000.0,AUGW,767,0.5456297071846143,1.6457652294950753
1,10000.0,ASDEX,431,0.6789508829126126,5.187342932450245
1,10000.0,D3D,388,0.3615557182116461,1.1410663145491857
1,10000.0,NSTX,185,1.03272998932139,7.8308993076380045
1,10000.0,JT60U,100,0.25378255455598375,2.483394451114324
1,10000.0,PDX,97,0.5872000923418698,4.045943810544166
1,10000.0,JFT2M,69,0.3088765714552351,5.434784443628557
1,10000.0,PBXM,59,0.3358845796547028,10.18020691511417
1,10000.0,CMOD,45,0.30547843558622984,6.937744525296737
1,10000.0,MAST,39,0.4572532282601688,5.375921749336576
1,100000.0,JET,1762,1.3086718685053453,2.189768389167002
1,100000.0,AUG,1377,0.45854772739760413,1.2399939601552896
1,100000.0,JETILW,866,0.450585665403146,1.7024302608804454
1,100000.0,AUGW,767,0.6872651066238269,1.6457652294950753
1,100000.0,ASDEX,431,1.2377010623685152,5.187342932450245
1,100000.0,D3D,388,0.3877897446727161,1.1410663145491857
1,100000.0,NSTX,185,1.2778727860579215,7.8308993076380045
1,100000.0,JT60U,100,0.3916745845747547,2.483394451114324
1,100000.0,PDX,97,1.2036176882605287,4.045943810544166
1,100000.0,JFT2M,69,1.2697926225453917,5.434784443628557
1,100000.0,PBXM,59,0.8157304372365645,10.18020691511417
1,100000.0,CMOD,45,0.5083730955481977,6.937744525296737
1,100000.0,MAST,39,1.050160669849818,5.375921749336576
2,0.001,JET,1762,0.29005979522321473,2.189768389167002
2,0.001,AUG,1377,0.19932432579336312,1.2399939601552896
2,0.001,JETILW,866,0.1916373703574769,1.7024302608804454
