model_name,n_train_machines,size_ratio,n_train_rows,n_test_rows,rmsle,r2_log,is_blind,well_powered
mean_baseline,9,2.428571428571429,476,5752,1.682955063272373,-3.505022807881275,True,False
random_forest,9,2.428571428571429,476,5752,1.7430705688258945,-3.8326116233434613,True,False
ridge_loglinear,9,2.428571428571429,476,5752,0.2523163503000443,0.8987388763681777,True,False
hist_gradient_boosting,10,2.0334928229665072,1243,4985,1.1285886068249373,-1.0347422891197855,True,True
ipb98y2_analytic,10,2.0334928229665072,1243,4985,0.1955523477919212,0.9389108395327639,False,True
mean_baseline,10,2.0334928229665072,1243,4985,1.3460117466666535,-1.8942483068473739,True,True
random_forest,10,2.0334928229665072,1243,4985,1.271055858507716,-1.580877320847076,True,True
ridge_loglinear,10,2.0334928229665072,1243,4985,0.24176064806222014,0.9066295804586603,True,True
hist_gradient_boosting,11,2.0334928229665072,1302,4926,1.1422607346717948,-1.119242759266141,True,True
ipb98y2_analytic,11,2.0334928229665072,1302,4926,0.1958206532207548,0.9377173329330544,False,True
mean_baseline,11,2.0334928229665072,1302,4926,1.357708538527044,-1.9940793794666147,True,True
random_forest,11,2.0334928229665072,1302,4926,1.3012910547189576,-1.7504205264249806,True,True
ridge_loglinear,11,2.0334928229665072,1302,4926,0.2328295302046073,0.9119506132684603,True,True
hist_gradient_boosting,12,2.005899705014749,2679,3549,1.1972622844642502,-1.1575522985238695,True,True
ipb98y2_analytic,12,2.005899705014749,2679,3549,0.1952171202100804,0.9426387598927793,False,True
mean_baseline,12,2.005899705014749,2679,3549,1.296607179243921,-1.5304605555686952,True,True
random_forest,12,2.005899705014749,2679,3549,1.2208469365449033,-1.2433919835123963,True,True
ridge_loglinear,12,2.005899705014749,2679,3549,0.25519532201517764,0.901976964731825,True,True
hist_gradient_boosting,13,1.998824221046443,3110,3118,1.322879351238232,-5.337458162828072,True,True
ipb98y2_analytic,13,1.998824221046443,3110,3118,0.20245781788747105,0.8515624651042903,False,True
mean_baseline,13,1.998824221046443,3110,3118,1.4461810235245474,-6.573906633612587,True,True
random_forest,13,1.998824221046443,3110,3118,1.3528600616699271,-5.627967680695977,True,True
ridge_loglinear,13,1.998824221046443,3110,3118,0.2449270221943438,0.7827558778171437,True,True
hist_gradient_boosting,14,1.8230563002680964,3498,2730,1.0717519585509527,-4.694568534505263,True,True
ipb98y2_analytic,14,1.8230563002680964,3498,2730,0.19440636965136043,0.8126329439726376,False,True
mean_baseline,14,1.8230563002680964,3498,2730,1.459310027451591,-9.557653046327964,True,True
random_forest,14,1.8230563002680964,3498,2730,0.9377674151597658,-3.359759459795333,True,True
ridge_loglinear,14,1.8230563002680964,3498,2730,0.27782310857361403,0.6173435967119197,True,True
hist_gradient_boosting,15,1.3843648208469055,3500,2728,0.9977453796895946,-3.9381018236997365,True,True
ipb98y2_analytic,15,1.3843648208469055,3500,2728,0.19441717348752857,0.8125049355804705,False,True
mean_baseline,15,1.3843648208469055,3500,2728,1.4592590342426606,-9.56295358723613,True,True
random_forest,15,1.3843648208469055,3500,2728,0.9348017673012582,-3.3347059278762217,True,True
ridge_loglinear,15,1.3843648208469055,3500,2728,0.2787342722170492,0.6146092090021642,True,True
hist_gradient_boosting,16,1.1441015895668163,4366,1862,0.4851960071948543,-0.3056036578215289,True,True
ipb98y2_analytic,16,1.1441015895668163,4366,1862,0.15731252575504368,0.8627527884795952,False,True
mean_baseline,16,1.1441015895668163,4366,1862,1.405404284234528,-9.95416977894983,True,True
random_forest,16,1.1441015895668163,4366,1862,0.4817173722359798,-0.286949598719211,True,True
ridge_loglinear,16,1.1441015895668163,4366,1862,0.1892487418683173,0.8013708777095583,True,True
hist_gradient_boosting,17,1.1294592332437212,6128,100,0.30701737969020504,0.16700675486590866,True,True
ipb98y2_analytic,17,1.1294592332437212,6128,100,0.2748479842757165,0.33242406834708016,False,True
mean_baseline,17,1.1294592332437212,6128,100,0.4782029879765733,-1.0208781529655213,True,True
random_forest,17,1.1294592332437212,6128,100,0.2912031876601156,0.2506101484711375,True,True
ridge_loglinear,17,1.1294592332437212,6128,100,0.2853670935561867,0.28034666537844655,True,True
