model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,arm
ridge_loglinear,TFTR,102,0.537925784618225,-6.3538093758129435,0.044484759734262413,True,disjoint_h
random_forest,TFTR,102,0.22171875107839997,-0.24931654404874903,0.019867075107583017,True,disjoint_h
hist_gradient_boosting,TFTR,102,0.26740197469336763,-0.8171754637285173,0.02248658164601548,True,disjoint_h
powerlaw_collisionless,TFTR,102,0.517949398122198,-5.817769425416189,0.043104860187794844,True,disjoint_h
mean_baseline,NSTX,67,1.6366013121301182,-19.90386413770519,0.12672566182996284,True,disjoint_h
ridge_loglinear,NSTX,67,0.4114621200471032,-0.321297164240677,0.012048804867980713,True,disjoint_h
random_forest,NSTX,67,1.1124791339852032,-8.658830213456108,0.06525588147363323,True,disjoint_h
hist_gradient_boosting,NSTX,67,0.8251184175523,-4.313410214702092,0.03841712297165092,True,disjoint_h
powerlaw_collisionless,NSTX,67,0.39965257541257504,-0.24653941700388837,0.011934617607458528,True,disjoint_h
mean_baseline,TUMAN3M,49,2.5491210937135333,-52.372298801210796,0.1482942155202178,True,disjoint_h
ridge_loglinear,TUMAN3M,49,0.3982470854615486,-0.30268732503663753,0.005529903508025096,True,disjoint_h
random_forest,TUMAN3M,49,0.3973495586754209,-0.29682222618044585,0.004186170009659733,True,disjoint_h
hist_gradient_boosting,TUMAN3M,49,0.40186321702106376,-0.32645184576729247,0.004592246274879809,True,disjoint_h
powerlaw_collisionless,TUMAN3M,49,0.39305002520649385,-0.26890945134952915,0.005405452163912174,True,disjoint_h
mean_baseline,PDX,46,1.747346509774381,-8.848282244635254,0.12571135206474923,True,disjoint_h
ridge_loglinear,PDX,46,0.3815454801372879,0.5304357342093409,0.009120557589206801,True,disjoint_h
random_forest,PDX,46,0.5761640398629455,-0.07076634198449971,0.01476995154703042,True,disjoint_h
hist_gradient_boosting,PDX,46,0.4554994273992103,0.330765866230494,0.011275700198891568,True,disjoint_h
powerlaw_collisionless,PDX,46,0.3839906397724129,0.5243979815565653,0.009148826804268541,True,disjoint_h
mean_baseline,CMOD,42,0.9437904441709326,-13.19757868913654,0.0935474538329912,True,disjoint_h
ridge_loglinear,CMOD,42,0.11337472320953179,0.7951218648830253,0.006739547846414688,True,disjoint_h
random_forest,CMOD,42,0.44175111418497404,-2.1104157322889314,0.035893574666629714,True,disjoint_h
hist_gradient_boosting,CMOD,42,0.4427435336786518,-2.124406889238277,0.0358655029034627,True,disjoint_h
powerlaw_collisionless,CMOD,42,0.1193318649764657,0.7730260640263058,0.0059912405772957625,True,disjoint_h
"IPB98(y,2)",JET,2655,0.23057848788061924,,,False,disjoint_h
"IPB98(y,2)",AUG,974,0.24192560115045356,,,False,disjoint_h
"IPB98(y,2)",JFT2M,461,0.16394656484879308,,,False,disjoint_h
"IPB98(y,2)",JT60U,287,0.3319201735106904,,,False,disjoint_h
"IPB98(y,2)",D3D,233,0.2646548974391636,,,False,disjoint_h
"IPB98(y,2)",PBXM,205,0.209449618187514,,,False,disjoint_h
"IPB98(y,2)",ASDEX,194,0.4102313765036077,,,False,disjoint_h
"IPB98(y,2)",TFTR,102,0.3978823720710255,,,False,disjoint_h
"IPB98(y,2)",NSTX,67,0.3774936220450414,,,False,disjoint_h
"IPB98(y,2)",TUMAN3M,49,0.2116962423824785,,,False,disjoint_h
"IPB98(y,2)",PDX,46,0.3581082529125683,,,False,disjoint_h
"IPB98(y,2)",CMOD,42,0.14592543859448112,,,False,disjoint_h
mean_baseline,JET,1475,2.479445141114495,-25.185691598422192,0.6940801522895557,True,non_h
ridge_loglinear,JET,1475,0.6130895598014072,-0.6010425809703315,0.3414160845544131,True,non_h
random_forest,JET,1475,1.939036063799758,-15.014995250067962,0.6513258670096365,True,non_h
hist_gradient_boosting,JET,1475,1.8870858941577773,-14.168351278645053,0.6465853798877769,True,non_h
