group,estimator,score,n_train_rows,n_held_out_rows,mahalanobis,n_features_outside_train_range,fraction_above_train_max,fraction_below_train_min,log_target_headroom,prediction_bounded_by_train_range
Xenarthra,mean_baseline,1.9266207404500741,526,15,1.548526225067704,0,0.0,0.0,-2.353789207686102,True
Dasyuromorpha,kleiber,0.3741767317057156,520,21,0.30033125894849183,0,0.0,0.0,-3.1799159873365923,True
Dasyuromorpha,ols_loglinear,0.4209868350845651,520,21,0.30033125894849183,0,0.0,0.0,-3.1799159873365923,True
Dasyuromorpha,random_forest,0.4883521152168428,520,21,0.30033125894849183,0,0.0,0.0,-3.1799159873365923,True
Dasyuromorpha,hist_gradient_boosting,0.47375487954828555,520,21,0.30033125894849183,0,0.0,0.0,-3.1799159873365923,True
Dasyuromorpha,mean_baseline,1.6712177068208904,520,21,0.30033125894849183,0,0.0,0.0,-3.1799159873365923,True
Didelphimorphia,kleiber,0.2381563184579056,530,11,0.3544582359328911,0,0.0,0.0,-3.6456093478339486,True
Didelphimorphia,ols_loglinear,0.22750281049511473,530,11,0.3544582359328911,0,0.0,0.0,-3.6456093478339486,True
Didelphimorphia,random_forest,0.39719634439223395,530,11,0.3544582359328911,0,0.0,0.0,-3.6456093478339486,True
Didelphimorphia,hist_gradient_boosting,0.26441694973686974,530,11,0.3544582359328911,0,0.0,0.0,-3.6456093478339486,True
Didelphimorphia,mean_baseline,1.179582713135413,530,11,0.3544582359328911,0,0.0,0.0,-3.6456093478339486,True
Diprodontia,kleiber,0.3412077490718436,517,24,0.8295570776869359,0,0.0,0.0,-1.695468449929038,True
Diprodontia,ols_loglinear,0.2574579678685055,517,24,0.8295570776869359,0,0.0,0.0,-1.695468449929038,True
Diprodontia,random_forest,0.34263468791687945,517,24,0.8295570776869359,0,0.0,0.0,-1.695468449929038,True
Diprodontia,hist_gradient_boosting,0.2879272078544093,517,24,0.8295570776869359,0,0.0,0.0,-1.695468449929038,True
Diprodontia,mean_baseline,2.0690186046508425,517,24,0.8295570776869359,0,0.0,0.0,-1.695468449929038,True
