model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,feature_mahalanobis
hist_gradient_boosting,grouped_cv,JT60U,100,0.9,0.83,0.22307130985744772,1.2499097014407365,0.18716020269087116,True,2.483394451114324
hist_gradient_boosting,grouped_cv,MAST,39,0.9,0.8461538461538461,0.2140118771575048,1.238637366197177,0.13804971796711193,True,5.375921749336576
hist_gradient_boosting,grouped_cv,NSTX,185,0.9,0.8,0.2140118771575048,1.238637366197177,0.17187914089732909,True,7.8308993076380045
hist_gradient_boosting,grouped_cv,PBXM,59,0.9,0.847457627118644,0.2140118771575048,1.238637366197177,0.13681935287403083,True,10.18020691511417
hist_gradient_boosting,grouped_cv,PDX,97,0.9,0.8350515463917526,0.2140118771575048,1.238637366197177,0.16510302973348637,True,4.045943810544166
hist_gradient_boosting,grouped_cv,START,8,0.9,0.125,0.2140118771575048,1.238637366197177,0.639009617346637,True,
hist_gradient_boosting,grouped_cv,TCV,11,0.9,0.7272727272727273,0.19958666401969327,1.2208980127756768,0.21786729639164934,True,
hist_gradient_boosting,grouped_cv,TDEV,7,0.9,0.42857142857142855,0.2140118771575048,1.238637366197177,0.21971819007000165,True,
hist_gradient_boosting,grouped_cv,TFTR,2,0.9,1.0,0.21854159350747626,1.2442607687204694,0.15419496544900935,True,
hybrid_gbm_s1,grouped_cv,ASDEX,431,0.9,0.9605568445475638,0.2453228678052728,1.2780338825933533,0.12032654236433747,True,5.187342932450245
hybrid_gbm_s1,grouped_cv,AUG,1377,0.9,0.8562091503267973,0.2453228678052728,1.2780338825933533,0.16776426528762076,True,1.2399939601552896
hybrid_gbm_s1,grouped_cv,AUGW,767,0.9,0.9165580182529335,0.2453228678052728,1.2780338825933533,0.1366366281305642,True,1.6457652294950753
hybrid_gbm_s1,grouped_cv,CMOD,45,0.9,0.9777777777777777,0.2453228678052728,1.2780338825933533,0.1297206761927587,True,6.937744525296737
hybrid_gbm_s1,grouped_cv,COMPASS,15,0.9,0.6,0.2453228678052728,1.2780338825933533,0.25306384580896124,True,
hybrid_gbm_s1,grouped_cv,D3D,388,0.9,0.7628865979381443,0.2453228678052728,1.2780338825933533,0.1858483958472553,True,1.1410663145491857
hybrid_gbm_s1,grouped_cv,JET,1762,0.9,0.9358683314415437,0.2453228678052728,1.2780338825933533,0.1357694220228019,True,2.189768389167002
hybrid_gbm_s1,grouped_cv,JETILW,866,0.9,0.9341801385681293,0.2453228678052728,1.2780338825933533,0.1340821169774453,True,1.7024302608804454
hybrid_gbm_s1,grouped_cv,JFT2M,69,0.9,1.0,0.2453228678052728,1.2780338825933533,0.09989327289387039,True,5.434784443628557
hybrid_gbm_s1,grouped_cv,JT60U,100,0.9,0.78,0.24124173166640484,1.2728286811209988,0.19646438043449682,True,2.483394451114324
hybrid_gbm_s1,grouped_cv,MAST,39,0.9,0.8974358974358975,0.2453228678052728,1.2780338825933533,0.15295558492992617,True,5.375921749336576
hybrid_gbm_s1,grouped_cv,NSTX,185,0.9,0.8324324324324325,0.2453228678052728,1.2780338825933533,0.19906965914103467,True,7.8308993076380045
hybrid_gbm_s1,grouped_cv,PBXM,59,0.9,0.8813559322033898,0.2453228678052728,1.2780338825933533,0.16744745520712434,True,10.18020691511417
hybrid_gbm_s1,grouped_cv,PDX,97,0.9,0.8350515463917526,0.2453228678052728,1.2780338825933533,0.16577611995029837,True,4.045943810544166
hybrid_gbm_s1,grouped_cv,START,8,0.9,1.0,0.24712770116249227,1.2803426035779304,0.08765918228334565,True,
hybrid_gbm_s1,grouped_cv,TCV,11,0.9,0.2727272727272727,0.2453228678052728,1.2780338825933533,0.4539440446817837,True,
hybrid_gbm_s1,grouped_cv,TDEV,7,0.9,1.0,0.2453228678052728,1.2780338825933533,0.13185694595565628,True,
hybrid_gbm_s1,grouped_cv,TFTR,2,0.9,0.0,0.24555669098836075,1.2783327514837515,0.2859454713830969,True,
ipb98y2_analytic,leave_one_tokamak_out,JET,1762,0.9,0.9807037457434733,0.3706488022586636,1.4486742129250407,0.14786640407873294,False,2.189768389167002
ipb98y2_analytic,leave_one_tokamak_out,AUG,1377,0.9,0.9186637618010167,0.3352398508098513,1.3982757225698461,0.1973676563878414,False,1.2399939601552896
ipb98y2_analytic,leave_one_tokamak_out,JETILW,866,0.9,0.663972286374134,0.2820037985281425,1.3257837560041352,0.256629652478898,False,1.7024302608804454
ipb98y2_analytic,leave_one_tokamak_out,AUGW,767,0.9,0.9048239895697523,0.3250114506465456,1.3840464941172224,0.21832511500257962,False,1.6457652294950753
ipb98y2_analytic,leave_one_tokamak_out,ASDEX,431,0.9,0.9837587006960556,0.3414739751122554,1.4070199752926589,0.13144904229087115,False,5.187342932450245
ipb98y2_analytic,leave_one_tokamak_out,D3D,388,0.9,0.7835051546391752,0.33483558553421977,1.3977105624944464,0.25193607071646484,False,1.1410663145491857
ipb98y2_analytic,leave_one_tokamak_out,NSTX,185,0.9,0.8648648648648649,0.31840008117551566,1.3749262333071561,0.22222938608255652,False,7.8308993076380045
ipb98y2_analytic,leave_one_tokamak_out,JT60U,100,0.9,0.73,0.33620713984501416,1.3996289137023856,0.2748479842757165,False,2.483394451114324
ipb98y2_analytic,leave_one_tokamak_out,PDX,97,0.9,0.8350515463917526,0.32730664922323993,1.3872268039858018,0.2270798419649088,False,4.045943810544166
ipb98y2_analytic,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.3302788711445106,1.3913560834299512,0.0945692941473851,False,5.434784443628557
ipb98y2_analytic,leave_one_tokamak_out,PBXM,59,0.9,1.0,0.33455902033576757,1.3973240578446824,0.17167843282810225,False,10.18020691511417
ipb98y2_analytic,leave_one_tokamak_out,CMOD,45,0.9,0.9777777777777777,0.32986229935832667,1.3907766044467362,0.1193554844659295,False,6.937744525296737
ipb98y2_analytic,leave_one_tokamak_out,MAST,39,0.9,1.0,0.34824381374198454,1.4165775887218357,0.1364310264879828,False,5.375921749336576
mean_baseline,leave_one_tokamak_out,JET,1762,0.9,0.246311010215664,1.092595096816566,2.982002625574682,1.421473823226747,True,2.189768389167002
mean_baseline,leave_one_tokamak_out,AUG,1377,0.9,0.9956427015250545,1.5350141153965846,4.641391044566876,0.4954216627924094,True,1.2399939601552896
mean_baseline,leave_one_tokamak_out,JETILW,866,0.9,1.0,1.3750358964624072,3.9552186987316786,0.5684041183108468,True,1.7024302608804454
mean_baseline,leave_one_tokamak_out,AUGW,767,0.9,0.9608865710560626,1.3961215598057897,4.039502576669268,0.7384576877969096,True,1.6457652294950753
mean_baseline,leave_one_tokamak_out,ASDEX,431,0.9,0.45243619489559167,1.3181460810640502,3.7364878066091807,1.400698081996238,True,5.187342932450245
mean_baseline,leave_one_tokamak_out,D3D,388,0.9,1.0,1.4042647754227588,4.07253141509578,0.3995586587943929,True,1.1410663145491857
