model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,method,arm
random_forest,leave_one_tokamak_out,ASDEX,431,0.9,0.10208816705336426,0.20211290248223435,1.2239861913898222,0.49276322352283325,True,split,lomo
random_forest,leave_one_tokamak_out,D3D,388,0.9,0.3479381443298969,0.2131231095542434,1.2375369944937054,0.4397610023963948,True,split,lomo
random_forest,leave_one_tokamak_out,NSTX,185,0.9,0.10270270270270271,0.2086469914801392,1.2320100117270547,0.8131887861344855,True,split,lomo
random_forest,leave_one_tokamak_out,JT60U,100,0.9,0.42,0.19036828519615945,1.20969502840027,0.27966895812568054,True,split,lomo
random_forest,leave_one_tokamak_out,PDX,97,0.9,0.35051546391752575,0.20530520683926023,1.2278997711869102,0.3888534057582532,True,split,lomo
random_forest,leave_one_tokamak_out,JFT2M,69,0.9,0.14492753623188406,0.19388276550540573,1.213953957335011,0.2991487250559801,True,split,lomo
random_forest,leave_one_tokamak_out,PBXM,59,0.9,0.1016949152542373,0.2009643209560008,1.2225811505184865,0.7518739817226527,True,split,lomo
random_forest,leave_one_tokamak_out,CMOD,45,0.9,0.13333333333333333,0.21398593648218878,1.2386052355241737,0.42873065532488336,True,split,lomo
random_forest,leave_one_tokamak_out,MAST,39,0.9,0.05128205128205128,0.20907720170998245,1.2325401490644454,0.5896697223969966,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,JET,1762,0.9,0.21679909194097616,0.19629324483819444,1.2168836978810598,0.47447824291134266,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,AUG,1377,0.9,0.5381263616557734,0.20905395496017753,1.2325114968450124,0.2894215525257346,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,JETILW,866,0.9,0.5438799076212472,0.22032914504344964,1.2464869380721884,0.26040249995200876,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,AUGW,767,0.9,0.6414602346805737,0.21966103259045555,1.245654422764258,0.21379127157911515,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,ASDEX,431,0.9,0.6194895591647331,0.20194865635124448,1.2237851729022078,0.2587783923300781,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,D3D,388,0.9,0.5360824742268041,0.21517799039716823,1.2400826001184748,0.25791985672531886,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,NSTX,185,0.9,0.21081081081081082,0.21200696848858092,1.2361564991909386,0.6745768552556977,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,JT60U,100,0.9,0.53,0.1990317948806255,1.220220762056576,0.25596274298952126,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,PDX,97,0.9,0.38144329896907214,0.20188749592032396,1.2237103279624766,0.34921867962621606,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,JFT2M,69,0.9,0.8115942028985508,0.19660978618328673,1.2172689528549547,0.28575139787967674,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,PBXM,59,0.9,0.05084745762711865,0.21444127128576684,1.2391693440151699,0.5323249531239362,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,CMOD,45,0.9,0.06666666666666667,0.21100221211105086,1.2349150868276833,0.4596097566217606,True,split,lomo
hist_gradient_boosting,leave_one_tokamak_out,MAST,39,0.9,0.1794871794871795,0.20840803079665782,1.231715644945041,0.41516120489074304,True,split,lomo
